GVKEY,CITY,CONML,SIC,STATE,CONM,TIC,CIK
001356,New York,Alcoa Inc,3720,NY,ALCOA INC,AA.3,
006314,Pitman,K-Tron International Inc,3823,NJ,K-TRON INTERNATIONAL INC,KTII,0000000020
001004,Wood Dale,AAR Corp,5080,IL,AAR CORP,AIR,0000001750
001078,Abbott Park,Abbott Laboratories,2834,IL,ABBOTT LABORATORIES,ABT,0000001800
001082,Atlanta,Servidyne Inc,8700,GA,SERVIDYNE INC,SERV.1,0000001923
001094,Port Washington,Aceto Corp,5160,NY,ACETO CORP,ACETQ,0000002034
001104,Fairfield,Acme United Corp,3420,CT,ACME UNITED CORP,ACU,0000002098
030697,Florham Park,Affiliated Computer Services Inc.,7374,NJ,AFFILIATED COMPUTER SERVICES,ACS,0000002135
001121,Houston,Adams Resources & Energy Inc.,5172,TX,ADAMS RESOURCES & ENERGY INC,AE,0000002178
001117,West Melbourne,BK Technologies Corp,3663,FL,BK TECHNOLOGIES CORP,BKTI,0000002186
001119,Baltimore,Adams Diversified Equity Fund Inc,6726,MD,ADAMS DIVERSIFIED EQUITY FD,ADX,0000002230
001161,Santa Clara,Advanced Micro Devices Inc,3674,CA,ADVANCED MICRO DEVICES,AMD,0000002488
012075,Las Vegas,Bally Technologies Inc,3990,NV,BALLY TECHNOLOGIES INC,BYI,0000002491
001186,Toronto,Agnico Eagle Mines Ltd,1040,ON,AGNICO EAGLE MINES LTD,AEM,0000002809
001209,Allentown,Air Products and Chemicals Inc.,2810,PA,AIR PRODUCTS & CHEMICALS INC,APD,0000002969
014304,Lake Forest,Akorn Inc,2834,IL,AKORN INC,AKRX,0000003116
001050,Dallas,CECO Environmental Corp.,3564,TX,CECO ENVIRONMENTAL CORP,CECE,0000003197
001254,Honolulu,Matson Inc,4400,HI,MATSON INC,MATX,0000003453
001257,Paramus,Alexander's Inc.,6798,NJ,ALEXANDER'S INC,ALX,0000003499
001266,Fort Myers,Alico Inc,0100,FL,ALICO INC,ALCO,0000003545
029453,Houston,Cheniere Energy Inc.,1311,TX,CHENIERE ENERGY INC,LNG,0000003570
001279,Greensburg,Allegheny Energy Inc.,4911,PA,ALLEGHENY ENERGY INC,AYE,0000003673
116004,Washington,Allied Capital Corp,6159,DC,ALLIED CAPITAL CORP,ALD.1,0000003906
013169,Baltimore,Allied Defense Group Inc. (The),9995,MD,ALLIED DEFENSE GROUP INC,ADGI,0000003952
001308,Houston,Allis-Chalmers Energy Inc,1381,TX,ALLIS-CHALMERS ENERGY INC,ALY,0000003982
001327,Woburn,Skyworks Solutions Inc,3674,MA,SKYWORKS SOLUTIONS INC,SWKS,0000004127
061925,Louisville,Industrial Services of America Inc,4953,KY,INDUSTRIAL SERVICES AMER INC,IDSA,0000004187
028192,New York,Arconic Inc,3728,NY,ARCONIC INC,ARNC,0000004281
001380,New York,Hess Corp,1311,NY,HESS CORP,HES,0000004447
001393,Reno,Amerco,7510,NV,AMERCO,UHAL,0000004457
001397,Wellesley Hills,American Biltrite Inc.,2670,MA,AMERICAN BILTRITE INC,ABLT,0000004611
001440,Columbus,American Electric Power Co Inc,4911,OH,AMERICAN ELECTRIC POWER CO,AEP,0000004904
001447,New York,American Express Co,6141,NY,AMERICAN EXPRESS CO,AXP,0000004962
001449,Columbus,AFLAC Inc,6321,GA,AFLAC INC,AFL,0000004977
001417,Atlanta,Invesco Bond Fund,6726,GA,INVESCO BOND FUND,VBF,0000005094
001468,Cleveland,American Greetings Corp.,2771,OH,AMERICAN GREETINGS  -CL A,AM.1,0000005133
001487,New York,American International Group Inc,6331,NY,AMERICAN INTERNATIONAL GROUP,AIG,0000005272
001491,Hadera,Hadera Paper Ltd,2621,,HADERA PAPER LTD,HAIPF,0000005337
012726,Chattanooga,Unum Group,6321,TN,UNUM GROUP,UNM,0000005513
001554,Billerica,American Science and Engineering Inc.,3844,MA,AMERICAN SCIENCE ENGINEERING,ASEI,0000005768
001585,Newport Beach,American Vanguard Corp,2870,CA,AMERICAN VANGUARD CORP,AVD,0000005981
001613,Carnegie,Ampco-Pittsburgh Corp,3460,PA,AMPCO-PITTSBURGH CORP,AP,0000006176
001045,Fort Worth,American Airlines Group Inc,4512,TX,AMERICAN AIRLINES GROUP INC,AAL,0000006201
001618,Plymouth Meeting,AMREP Corp.,7389,PA,AMREP CORP,AXR,0000006207
001632,Norwood,Analog Devices Inc.,3674,MA,ANALOG DEVICES,ADI,0000006281
001633,Peabody,Analogic Corp,3845,MA,ANALOGIC CORP,ALOG,0000006284
001634,Minneapolis,Analysts International Corp,7371,MN,ANALYSTS INTERNATIONAL CORP,ANLY,0000006292
001635,East Syracuse,Anaren Inc,3663,NY,ANAREN INC,ANEN,0000006314
001678,Houston,Apache Corp,1311,TX,APACHE CORP,APA,0000006769
006809,Duluth,COMFORCE Corp,8742,GA,COMFORCE CORP,CFS,0000006814
001686,Minneapolis,Apogee Enterprises Inc,3442,MN,APOGEE ENTERPRISES INC,APOG,0000006845
063874,Houston,Stage Stores Inc,5651,TX,STAGE STORES INC,SSI,0000006885
001704,Santa Clara,Applied Materials Inc.,3559,CA,APPLIED MATERIALS INC,AMAT,0000006951
001706,Menomonee Falls,Actuant Corp,3533,WI,ACTUANT CORP  -CL A,ATU,0000006955
